srr,bioproject
SRR3176656,PRJNA312459
SRR3176657,PRJNA312459
SRR3176662,PRJNA312459
SRR3176663,PRJNA312459
SRR3176666,PRJNA312459
SRR3176667,PRJNA312459
SRR3176670,PRJNA312459
SRR3176671,PRJNA312459
SRR3176674,PRJNA312459
SRR3176675,PRJNA312459
SRR3176678,PRJNA312459
SRR3176679,PRJNA312459
SRR3176656,PRJNA312459
SRR3176657,PRJNA312459
SRR3176662,PRJNA312459
SRR3176663,PRJNA312459
SRR3176666,PRJNA312459
SRR3176667,PRJNA312459
SRR3176670,PRJNA312459
SRR3176671,PRJNA312459
SRR3176674,PRJNA312459
SRR3176675,PRJNA312459
SRR3176678,PRJNA312459
SRR3176679,PRJNA312459